//X,Y,Z,Temp. approx. distances,Roughness (1.22938),Mean curvature (1.22938),Gaussian curvature (1.22938),Normal change rate (1.22938),Number of neighbors (r=1.22938),Surface density (r=1.22938),Volume density (r=1.22938),Eigenvalues sum (1.22938),Omnivariance (1.22938),Eigenentropy (1.22938),Anisotropy (1.22938),Planarity (1.22938),Linearity (1.22938),PCA1 (1.22938),PCA2 (1.22938),Surface variation (1.22938),Sphericity (1.22938),Verticality (1.22938),Nx,Ny,Nz
-2.34599495,18.94324112,8.12399960,-0.094328,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
7.96800613,18.94324112,8.12399960,-0.099205,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
6.09400558,18.94324112,8.12399960,-0.076554,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
6.09400558,19.21323776,7.81200027,-0.080307,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
-8.43799591,18.94324112,8.12399960,-0.101842,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-0.93799400,18.94324112,8.12399960,-0.083138,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632736,0.002452,0.723176,1.000000,0.776708,0.223291,0.562838,0.437161,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
15.93600464,18.94324112,8.12399960,-0.088707,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632735,0.002452,0.723176,1.000000,0.776709,0.223290,0.562838,0.437162,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
10.31200409,18.94324112,8.12399960,-0.076792,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632736,0.002452,0.723176,1.000000,0.776707,0.223292,0.562839,0.437161,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-7.96999550,18.94324112,8.12399960,-0.094920,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-12.18799591,18.94324112,8.12399960,-0.069823,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632735,0.002452,0.723176,1.000000,0.776709,0.223290,0.562838,0.437162,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-12.18799591,19.21323776,7.81200027,-0.069903,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632684,0.003062,0.723163,0.999999,0.776565,0.223434,0.562883,0.437116,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
11.25000763,19.21323776,7.81200027,-0.072636,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
-15.46999550,19.21323776,7.81200027,-0.061201,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632238,0.003061,0.723148,0.999999,0.777539,0.222460,0.562575,0.437425,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
-15.00199509,19.21323776,7.81200027,-0.061360,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
-9.37599564,18.94324112,8.12399960,-0.105117,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
12.65600586,19.21323776,7.81200027,-0.070313,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632149,0.003060,0.723145,0.999999,0.777735,0.222264,0.562513,0.437486,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
16.87400436,19.21323776,7.81200027,-0.094056,0.035463,0.235471,0.031316,0.021420,24.000000,5.054635,3.083651,0.696469,0.119410,0.790573,0.961296,0.729531,0.231765,0.553422,0.425158,0.021420,0.038704,0.259570,-0.001377,-0.756234,-0.654300
-17.34399605,19.21323776,7.81200027,-0.065771,0.103071,0.428602,0.025977,0.053940,27.000000,5.686464,3.469107,0.712503,0.162834,0.854621,0.896805,0.706775,0.190029,0.522694,0.423367,0.053940,0.103195,0.202779,0.001377,-0.756234,-0.654300
-16.87599564,18.94324112,8.12399960,-0.051819,0.103264,0.427811,0.024443,0.054036,27.000000,5.686464,3.469107,0.712467,0.162908,0.854742,0.896637,0.706130,0.190507,0.522778,0.423186,0.054036,0.103363,0.202857,-0.001377,-0.756234,-0.654300
-16.87599564,19.21323776,7.81200027,-0.059119,0.035494,0.235450,0.031255,0.021439,24.000000,5.054635,3.083651,0.695951,0.119357,0.790556,0.961256,0.729678,0.231578,0.553352,0.425208,0.021439,0.038744,0.259557,-0.001377,-0.756234,-0.654300
5.62400436,22.46123886,4.06200027,-0.251255,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632982,0.000644,0.723244,1.000000,0.777403,0.222597,0.562619,0.437381,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-13.12599564,22.19123840,4.37400007,-0.191691,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632736,0.002449,0.723176,1.000000,0.776712,0.223288,0.562837,0.437162,0.000000,0.000000,0.345069,0.001377,-0.756234,-0.654300
-15.00199509,22.46123886,4.06200027,-0.216641,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-14.53199577,22.46123886,4.06200027,-0.218516,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
-13.12599564,22.46123886,4.06200027,-0.224677,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632982,0.000644,0.723244,1.000000,0.777403,0.222597,0.562619,0.437381,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
-2.81399536,22.73323822,3.74800014,-0.256960,0.000080,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632536,0.000644,0.723229,1.000000,0.778378,0.221622,0.562310,0.437690,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
17.81200790,22.19123840,4.37400007,-0.192174,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632291,0.002448,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345069,-0.001377,-0.756234,-0.654300
-5.62599564,22.46123886,4.06200027,-0.244697,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632535,0.000644,0.723229,1.000000,0.778379,0.221621,0.562310,0.437690,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-7.50199509,22.46123886,4.06200027,-0.242834,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-3.28199577,22.46123886,4.06200027,-0.235760,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
9.84200668,22.46123886,4.06200027,-0.213735,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
1.87400627,22.46123886,4.06200027,-0.279180,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632536,0.000644,0.723229,1.000000,0.778378,0.221622,0.562310,0.437690,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
16.87400436,22.46123886,4.06200027,-0.187293,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632983,0.000644,0.723244,1.000000,0.777401,0.222599,0.562619,0.437381,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
0.00000572,22.19123840,4.37400007,-0.247710,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002448,0.723158,1.000000,0.777881,0.222118,0.562467,0.437533,0.000000,0.000000,0.345069,0.001377,-0.756234,-0.654300
9.84200668,22.73323822,3.74800014,-0.222680,0.000080,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
13.12400436,22.46123886,4.06200027,-0.195476,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632536,0.000644,0.723229,1.000000,0.778378,0.221622,0.562310,0.437690,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
12.65600586,22.46123886,4.06200027,-0.196326,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
20.62400436,22.46123886,4.06200027,-0.184255,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632537,0.000644,0.723229,1.000000,0.778376,0.221624,0.562311,0.437689,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-12.18799591,22.19123840,4.37400007,-0.213368,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632736,0.002449,0.723176,1.000000,0.776712,0.223288,0.562837,0.437162,0.000000,0.000000,0.345069,0.001377,-0.756234,-0.654300
-12.65799522,22.46123886,4.06200027,-0.228550,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632982,0.000644,0.723244,1.000000,0.777403,0.222597,0.562619,0.437381,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-12.65799522,22.19123840,4.37400007,-0.205278,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632736,0.002449,0.723176,1.000000,0.776712,0.223288,0.562837,0.437162,0.000000,0.000000,0.345069,-0.001377,-0.756234,-0.654300
-11.24999619,22.19123840,4.37400007,-0.225275,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002448,0.723158,1.000000,0.777881,0.222118,0.562467,0.437533,0.000000,0.000000,0.345069,0.001377,-0.756234,-0.654300
14.06200409,22.73323822,3.74800014,-0.215362,0.000080,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
-9.84399605,22.46123886,4.06200027,-0.245479,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632446,0.000644,0.723226,1.000000,0.778574,0.221426,0.562248,0.437752,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
15.46800613,22.46123886,4.06200027,-0.201508,0.000078,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632982,0.000644,0.723244,1.000000,0.777403,0.222597,0.562619,0.437381,0.000000,0.000000,0.345503,0.001377,-0.756234,-0.654300
15.46800613,22.73323822,3.74800014,-0.204817,0.000080,0.000005,0.000000,0.000000,21.000000,4.422805,2.698195,0.632982,0.000644,0.723244,1.000000,0.777403,0.222597,0.562619,0.437381,0.000000,0.000000,0.345503,-0.001377,-0.756234,-0.654300
22.50000763,22.46123886,4.06200027,-0.175821,0.035910,0.235687,0.031518,0.021440,24.000000,5.054635,3.083651,0.696253,0.119408,0.790581,0.961262,0.729372,0.231889,0.553450,0.425111,0.021440,0.038738,0.259923,0.001377,-0.756234,-0.654300
